TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF OCT 07, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,6.3,0,0,0,6.3,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,5128.7,1465.2,1211.8,171.9,348.3,0,0,238.2,1635.2,58.3,0
"WEEK OF OCT 07, 2013 (B)",Home Depot Home Center : Vignette,2.6,0,2.6,0,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,6.1,0,0,0,6.1,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,4760.4,1753.1,1105.8,91.1,116.9,0,0,0,1635.2,58.3,0
"WEEK OF OCT 14, 2013 (B)",Home Depot Home Center : Vignette,13.9,0,13.9,0,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,6.1,0,0,0,6.1,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,7545.3,3304.3,2106.4,164.9,276.2,0,0,0,1635.2,58.3,0
"WEEK OF OCT 21, 2013 (B)",Home Depot Home Center : Vignette,4.4,0,3.9,0,0.5,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.6,0,0,0,0.6,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,10623.3,4027.4,2161.5,149.3,341.4,2216.8,0,36.4,1500.4,91,99
"WEEK OF OCT 28, 2013 (B)",Home Depot Home Center : Vignette,2,0,1.5,0,0.6,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.2,0,0,0,0.2,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",Home Depot Home Center : Home & Building Products DR,15.5,0,0,0,0,0,0,15.5,0,0,0
"WEEK OF NOV 04, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,7003,3044.9,1279.8,40.7,849.7,0,0,332.5,1320.7,134.7,0
"WEEK OF NOV 04, 2013 (B)",Home Depot Home Center : Vignette,1.8,0,1.3,0,0.5,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,6,0,0,0,6,0,0,0,0,0,0
"WEEK OF NOV 11, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,6328.8,2503.7,1867.9,107.2,116.4,0,0,278.3,1320.7,134.7,0
"WEEK OF NOV 11, 2013 (B)",Home Depot Home Center : Vignette,5.8,0,5.8,0,0,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,7,0,0,0,7,0,0,0,0,0,0
"WEEK OF NOV 18, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,5840,2454.6,1556.3,53.2,48.1,0,19.2,253.4,1320.7,134.7,0
"WEEK OF NOV 18, 2013 (B)",Home Depot Home Center : Vignette,5,0,5,0,0,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,9,0,0,0,9,0,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,9510.2,3217.8,1872.9,237.6,84.1,1606.6,53.2,958.4,1331.1,117.1,31.4
"WEEK OF NOV 25, 2013 (B)",Home Depot Home Center : Lawn & Garden Products DR,4.5,0,0,0,0,0,0,4.5,0,0,0
"WEEK OF NOV 25, 2013 (B)",Home Depot Home Center : Online,80.8,0,0,0,0,80.8,0,0,0,0,0
"WEEK OF NOV 25, 2013 (B)",Home Depot Home Center : Vignette,6.2,0,6.2,0,0,0,0,0,0,0,0
"WEEK OF DEC 02, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,9.1,0,0,0,9.1,0,0,0,0,0,0
"WEEK OF DEC 02, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,4352,1741.9,1135,12.8,56.5,0,0,0,1393.7,12.1,0
"WEEK OF DEC 02, 2013 (B)",Home Depot Home Center : Vignette,6.6,0,6.6,0,0,0,0,0,0,0,0
"WEEK OF DEC 09, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.5,0,0,0,0.5,0,0,0,0,0,0
"WEEK OF DEC 09, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,3632.8,1309.9,794.3,14.6,54.6,0,0,53.7,1393.7,12.1,0
"WEEK OF DEC 09, 2013 (B)",Home Depot Home Center : Vignette,3.8,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF DEC 16, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF DEC 16, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,4234.7,1397.7,1291.3,65.3,74.6,0,0,0,1393.7,12.1,0
"WEEK OF DEC 16, 2013 (B)",Home Depot Home Center : Vignette,7.5,0,7.5,0,0,0,0,0,0,0,0
"WEEK OF DEC 16, 2013 (B)",Violet Play/Home Depot & Exxon Mobile : Sponsored Event,4.3,0,0,0,0,0,0,4.3,0,0,0
"WEEK OF DEC 23, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.9,0,0,0,2.9,0,0,0,0,0,0
"WEEK OF DEC 23, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,2775.7,0,1103.7,10.7,40.8,0,0,214.7,1393.7,12.1,0
"WEEK OF DEC 23, 2013 (B)",Home Depot Home Center : Lawn & Garden Products DR,4.5,0,0,0,0,0,0,4.5,0,0,0
"WEEK OF DEC 30, 2013 (B)",Home Depot Home Center & Kidde : Combo Vignette,2,0,0,0,2,0,0,0,0,0,0
"WEEK OF DEC 30, 2013 (B)",Home Depot Home Center : Home Center/Hardware Store,9412.4,4201.3,2626.2,108,54.1,1515.1,0,1.2,895.5,7.4,3.7
"WEEK OF DEC 30, 2013 (B)",Home Depot Home Center : Online,426.1,0,0,0,0,426.1,0,0,0,0,0
"WEEK OF DEC 30, 2013 (B)",Home Depot Home Center : Vignette,13.6,0,13.6,0,0,0,0,0,0,0,0
"WEEK OF DEC 30, 2013 (B)",Violet Play/Home Depot & Exxon Mobile : Sponsored Event,2.7,0,0,0,0,0,0,2.7,0,0,0
"WEEK OF JAN 06, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,5.6,0,0,0,5.6,0,0,0,0,0,0
"WEEK OF JAN 06, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3840.9,670.8,2252.1,107.7,43,0,0,65.6,696.2,5.5,0
"WEEK OF JAN 06, 2014 (B)",Home Depot Home Center : Vignette,10.6,0,10.6,0,0,0,0,0,0,0,0
"WEEK OF JAN 13, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.3,0,0,0,3.3,0,0,0,0,0,0
"WEEK OF JAN 13, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3579.8,840.8,1353.8,249,55.1,0,0,379.4,696.2,5.5,0
"WEEK OF JAN 13, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,6.8,0,0,0,0,0,0,6.8,0,0,0
"WEEK OF JAN 13, 2014 (B)",Home Depot Home Center : Vignette,15.5,0,15.5,0,0,0,0,0,0,0,0
"WEEK OF JAN 20, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.1,0,0,0,1.1,0,0,0,0,0,0
"WEEK OF JAN 20, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,4574.2,2073.1,1595.3,124,80.1,0,0,0,696.2,5.5,0
"WEEK OF JAN 20, 2014 (B)",Home Depot Home Center : Vignette,3.7,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF JAN 27, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.2,0,0,0,3.2,0,0,0,0,0,0
"WEEK OF JAN 27, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,1073.9,39.1,187.9,39,6.1,0,0,66.1,729,4.3,2.4
"WEEK OF FEB 03, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,889.5,0,0,76.6,0,0,0,0.6,811,1.3,0
"WEEK OF FEB 10, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,1358.1,0,0,109.8,0,0,0,436,811,1.3,0
"WEEK OF FEB 17, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,1038.2,0,0,219.9,0,0,0,6,811,1.3,0
"WEEK OF FEB 24, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF FEB 24, 2014 (B)",Home Depot Home Center : Home & Building Products DR,0.2,0,0,0,0,0,0,0.2,0,0,0
"WEEK OF FEB 24, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,2075.4,17,541.8,79.2,7.5,474.8,0,2.7,830,119.1,3.4
"WEEK OF FEB 24, 2014 (B)",Home Depot Home Center : Recruitment,308.8,0,0,0,0,308.8,0,0,0,0,0
"WEEK OF FEB 24, 2014 (B)",Home Depot Home Center : Vignette,5.9,0,5.9,0,0,0,0,0,0,0,0
"WEEK OF MAR 03, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.6,0,0,0,0.6,0,0,0,0,0,0
"WEEK OF MAR 03, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,3907.7,703.1,1490.3,231.6,177.8,0,0,13.9,877.4,413.5,0
"WEEK OF MAR 03, 2014 (B)",Home Depot Home Center : Vignette,13.1,0,13.1,0,0,0,0,0,0,0,0
"WEEK OF MAR 10, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.6,0,0,0,0.6,0,0,0,0,0,0
"WEEK OF MAR 10, 2014 (B)",Home Depot Home Center : Home & Building Products DR,1,0,0,0,0,0,0,1,0,0,0
"WEEK OF MAR 10, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,4799.6,294.3,2903,73.7,151.9,0,3.1,82.5,877.4,413.5,0
"WEEK OF MAR 10, 2014 (B)",Home Depot Home Center : Online,2,0,0,0,0,0,2,0,0,0,0
"WEEK OF MAR 10, 2014 (B)",Home Depot Home Center : Vignette,17.8,0,17.8,0,0,0,0,0,0,0,0
"WEEK OF MAR 17, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF MAR 17, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,6586.6,2561.5,2161,179.7,51.8,0,8.6,333,877.4,413.5,0
"WEEK OF MAR 17, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,5.3,0,0,0,0,0,0,5.3,0,0,0
"WEEK OF MAR 17, 2014 (B)",Home Depot Home Center : Vignette,35.4,0,35.4,0,0,0,0,0,0,0,0
"WEEK OF MAR 24, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF MAR 24, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,5561.1,1740.8,2253.5,233.3,38.5,0,3.5,0.6,877.4,413.5,0
"WEEK OF MAR 24, 2014 (B)",Home Depot Home Center : Vignette,35.5,0,35.5,0,0,0,0,0,0,0,0
"WEEK OF MAR 31, 2014 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.8,0,0,0,0.8,0,0,0,0,0,0
"WEEK OF MAR 31, 2014 (B)",Home Depot Home Center : Home Center/Hardware Store,8547.7,2844.1,1755.1,147.9,97.8,1335.2,0,405.4,1169.2,786.3,6.6
"WEEK OF MAR 31, 2014 (B)",Home Depot Home Center : Lawn & Garden Products DR,8,0,0,0,0,0,0,8,0,0,0
