,date,value,period,onediffvalue
1820,Oct 01 2018,15348.962256783267,2018-10-01,
1819,Sep 30 2018,19085.35267425873,2018-09-30,3736.3904174754643
1818,Sep 29 2018,19124.417410796283,2018-09-29,39.06473653755165
1817,Sep 28 2018,14549.42607398148,2018-09-28,-4574.991336814803
1816,Sep 27 2018,14161.482494825546,2018-09-27,-387.94357915593355
1815,Sep 26 2018,15194.657265282449,2018-09-26,1033.1747704569025
1814,Sep 25 2018,15090.55216250433,2018-09-25,-104.10510277811954
1813,Sep 24 2018,15734.061553446025,2018-09-24,643.5093909416955
1812,Sep 23 2018,19284.318999357696,2018-09-23,3550.2574459116713
1811,Sep 22 2018,18892.54785845123,2018-09-22,-391.771140906465
1810,Sep 21 2018,15494.260979062567,2018-09-21,-3398.2868793886646
1809,Sep 20 2018,14947.851768151972,2018-09-20,-546.409210910595
1808,Sep 19 2018,15569.612247895839,2018-09-19,621.7604797438671
1807,Sep 18 2018,15233.638908714904,2018-09-18,-335.973339180935
1806,Sep 17 2018,16257.391339266995,2018-09-17,1023.752430552091
1805,Sep 16 2018,18829.195928884623,2018-09-16,2571.804589617628
1804,Sep 15 2018,19274.820983845806,2018-09-15,445.6250549611832
1803,Sep 14 2018,15041.988629275686,2018-09-14,-4232.8323545701205
1802,Sep 13 2018,15306.618426176434,2018-09-13,264.62979690074826
1801,Sep 12 2018,15968.56499028219,2018-09-12,661.9465641057559
1800,Sep 11 2018,16562.618318769415,2018-09-11,594.0533284872254
1799,Sep 10 2018,16759.633448918084,2018-09-10,197.0151301486694
1798,Sep 09 2018,19409.708621397378,2018-09-09,2650.0751724792935
1797,Sep 08 2018,19887.682119340374,2018-09-08,477.9734979429959
1796,Sep 07 2018,15846.813692398036,2018-09-07,-4040.8684269423375
1795,Sep 06 2018,15943.875136468716,2018-09-06,97.0614440706795
1794,Sep 05 2018,16662.213528671095,2018-09-05,718.3383922023786
1793,Sep 04 2018,17410.072637361605,2018-09-04,747.8591086905108
1792,Sep 03 2018,27827.590748176568,2018-09-03,10417.518110814963
1791,Sep 02 2018,24647.521052370997,2018-09-02,-3180.0696958055705
1790,Sep 01 2018,22490.265962738322,2018-09-01,-2157.2550896326757
1789,Aug 31 2018,18141.762751316353,2018-08-31,-4348.503211421968
1788,Aug 30 2018,17061.75002409194,2018-08-30,-1080.0127272244135
1787,Aug 29 2018,17332.02919727802,2018-08-29,270.2791731860816
1786,Aug 28 2018,17128.691205917432,2018-08-28,-203.3379913605895
1785,Aug 27 2018,17908.899912933226,2018-08-27,780.2087070157941
1784,Aug 26 2018,21549.422641805497,2018-08-26,3640.522728872271
1783,Aug 25 2018,21481.59228527934,2018-08-25,-67.83035652615581
1782,Aug 24 2018,17315.34772154545,2018-08-24,-4166.24456373389
1781,Aug 23 2018,17034.87115154932,2018-08-23,-280.47656999613173
1780,Aug 22 2018,17213.81648933768,2018-08-22,178.94533778836194
1779,Aug 21 2018,17082.83464428555,2018-08-21,-130.98184505213067
1778,Aug 20 2018,17816.645272448415,2018-08-20,733.8106281628643
1777,Aug 19 2018,22292.58872280307,2018-08-19,4475.9434503546545
1776,Aug 18 2018,21249.62753480107,2018-08-18,-1042.9611880019984
1775,Aug 17 2018,17044.509264834545,2018-08-17,-4205.118269966526
1774,Aug 16 2018,16886.442423189055,2018-08-16,-158.06684164549006
1773,Aug 15 2018,17868.609408240838,2018-08-15,982.1669850517828
1772,Aug 14 2018,18267.495477126082,2018-08-14,398.88606888524373
1771,Aug 13 2018,19236.870859385417,2018-08-13,969.3753822593353
1770,Aug 12 2018,22715.50939078034,2018-08-12,3478.6385313949213
1769,Aug 11 2018,21811.286141566652,2018-08-11,-904.2232492136864
1768,Aug 10 2018,17972.683393954805,2018-08-10,-3838.602747611847
1767,Aug 09 2018,18012.21788210282,2018-08-09,39.53448814801595
1766,Aug 08 2018,18302.305850800836,2018-08-08,290.0879686980152
1765,Aug 07 2018,18506.504170116226,2018-08-07,204.1983193153901
1764,Aug 06 2018,19300.989231904623,2018-08-06,794.4850617883967
1763,Aug 05 2018,23369.268039544324,2018-08-05,4068.278807639701
1762,Aug 04 2018,23233.04504528403,2018-08-04,-136.2229942602935
1761,Aug 03 2018,18504.41372259644,2018-08-03,-4728.63132268759
1760,Aug 02 2018,18095.949477380207,2018-08-02,-408.4642452162334
1759,Aug 01 2018,18371.503628255403,2018-08-01,275.5541508751958
1758,Jul 31 2018,18427.764636539432,2018-07-31,56.26100828402923
1757,Jul 30 2018,19458.42111046102,2018-07-30,1030.6564739215864
1756,Jul 29 2018,23887.25054116458,2018-07-29,4428.829430703561
1755,Jul 28 2018,22408.798594069514,2018-07-28,-1478.4519470950654
1754,Jul 27 2018,18576.126621964027,2018-07-27,-3832.671972105487
1753,Jul 26 2018,18793.565609991663,2018-07-26,217.4389880276358
1752,Jul 25 2018,18278.758683086413,2018-07-25,-514.8069269052503
1751,Jul 24 2018,18602.306138982145,2018-07-24,323.5474558957321
1750,Jul 23 2018,19793.864386624024,2018-07-23,1191.5582476418786
1749,Jul 22 2018,23268.506605682167,2018-07-22,3474.6422190581434
1748,Jul 21 2018,22314.969168409494,2018-07-21,-953.5374372726728
1747,Jul 20 2018,18722.42759432072,2018-07-20,-3592.541574088773
1746,Jul 19 2018,18551.855672515187,2018-07-19,-170.57192180553466
1745,Jul 18 2018,18398.573124559298,2018-07-18,-153.28254795588873
1744,Jul 17 2018,18612.37819869337,2018-07-17,213.80507413407395
1743,Jul 16 2018,19589.22492757323,2018-07-16,976.8467288798565
1742,Jul 15 2018,22809.783501908285,2018-07-15,3220.5585743350566
1741,Jul 14 2018,22515.26538340209,2018-07-14,-294.5181185061956
1740,Jul 13 2018,19549.59093449161,2018-07-13,-2965.6744489104785
1739,Jul 12 2018,19156.875793619976,2018-07-12,-392.7151408716345
1738,Jul 11 2018,19412.661722519977,2018-07-11,255.78592890000073
1737,Jul 10 2018,19979.305771041076,2018-07-10,566.6440485210987
1736,Jul 09 2018,21467.776094088258,2018-07-09,1488.4703230471823
1735,Jul 08 2018,26873.46193854794,2018-07-08,5405.68584445968
1734,Jul 07 2018,25074.422495420076,2018-07-07,-1799.039443127862
1733,Jul 06 2018,20823.57354212742,2018-07-06,-4250.848953292658
1732,Jul 05 2018,21417.335272066277,2018-07-05,593.7617299388585
1731,Jul 04 2018,31870.464154823134,2018-07-04,10453.128882756857
1730,Jul 03 2018,23102.292584607672,2018-07-03,-8768.171570215462
1729,Jul 02 2018,22331.281660166333,2018-07-02,-771.0109244413397
1728,Jul 01 2018,27300.974540705643,2018-07-01,4969.692880539311
1727,Jun 30 2018,25243.00633498961,2018-06-30,-2057.9682057160317
1726,Jun 29 2018,20606.803662056347,2018-06-29,-4636.202672933265
1725,Jun 28 2018,20051.73793986212,2018-06-28,-555.0657221942274
1724,Jun 27 2018,19134.227874038537,2018-06-27,-917.5100658235824
1723,Jun 26 2018,19253.690399108553,2018-06-26,119.46252507001554
1722,Jun 25 2018,20314.52010089628,2018-06-25,1060.8297017877267
1721,Jun 24 2018,25130.073321594682,2018-06-24,4815.553220698403
1720,Jun 23 2018,22932.213769329894,2018-06-23,-2197.8595522647884
1719,Jun 22 2018,19182.929664666586,2018-06-22,-3749.2841046633075
1718,Jun 21 2018,18831.2345786631,2018-06-21,-351.6950860034849
1717,Jun 20 2018,19442.181655086944,2018-06-20,610.9470764238431
1716,Jun 19 2018,19179.799063631413,2018-06-19,-262.3825914555309
1715,Jun 18 2018,20318.824904265406,2018-06-18,1139.0258406339926
1714,Jun 17 2018,24264.6477823962,2018-06-17,3945.8228781307953
1713,Jun 16 2018,25298.028649609994,2018-06-16,1033.380867213793
1712,Jun 15 2018,20826.088425188005,2018-06-15,-4471.940224421989
1711,Jun 14 2018,19883.09739715009,2018-06-14,-942.9910280379154
1710,Jun 13 2018,19927.596383502594,2018-06-13,44.49898635250429
1709,Jun 12 2018,20127.992453855582,2018-06-12,200.39607035298832
1708,Jun 11 2018,20786.921919745757,2018-06-11,658.9294658901745
1707,Jun 10 2018,26038.30202402197,2018-06-10,5251.380104276213
1706,Jun 09 2018,24049.086308416092,2018-06-09,-1989.2157156058784
1705,Jun 08 2018,19823.49337702416,2018-06-08,-4225.592931391933
1704,Jun 07 2018,19024.720325442333,2018-06-07,-798.7730515818257
1703,Jun 06 2018,19378.002755700934,2018-06-06,353.2824302586014
1702,Jun 05 2018,19311.98702733847,2018-06-05,-66.01572836246487
